driving_style,avg_speed,min_speed,max_speed,max_acceleration,max_deceleration,max_steering,max_steering_diff,min_acc_pedal,max_acc_pedal,quantile_0.25_acc_pedal,median_acc_pedal,quantile_0.75_acc_pedal,min_brake_pedal,max_brake_pedal,quantile_0.25_brake_pedal,median_brake_pedal,quantile_0.75_brake_pedal
fast,16.42016498565674,13.147500038146973,17.295682907104492,0.018686503171920832,-0.022998749278485803,0.2527466714382171,0.022998749278485803,0.0,0.3769798874855041,0.0,0.2856990098953247,0.3412579894065857,0.0,0.5613315105438232,0.0,0.0,0.0
fast,15.916084767183994,11.697257995605469,17.023744583129883,0.018686503171920832,-0.022998749278485803,0.162668228149414,0.022998749278485803,0.0,0.3769798874855041,0.0,0.2856990098953247,0.3412579894065857,0.0,0.5613315105438232,0.0,0.0,0.0
fast,15.34266438961029,10.627793312072754,16.638635635375977,0.018686503171920832,-0.022998749278485803,0.1375133544206619,0.022998749278485803,0.0,0.3769798874855041,0.0,0.2856990098953247,0.3412579894065857,0.0,0.5613315105438232,0.0,0.0,0.0
fast,14.576088137626648,7.340410232543945,16.638635635375977,0.018686503171920832,-0.022998749278485803,0.1375133544206619,0.022998749278485803,0.0,0.3769798874855041,0.0,0.2856990098953247,0.3412579894065857,0.0,0.6632923483848572,0.0,0.0,0.0
fast,13.554453611373901,4.2238874435424805,16.638635635375977,0.018686503171920832,-0.022998749278485803,0.1375133544206619,0.022998749278485803,0.0,0.3769798874855041,0.0,0.0,0.3412579894065857,0.0,0.9328318238258362,0.0,0.0,0.0
fast,12.495574951171875,4.155437469482422,16.638635635375977,0.018686503171920832,-0.022998749278485803,0.1375133544206619,0.022998749278485803,0.0,0.9921872615814208,0.0,0.0,0.3412579894065857,0.0,0.9328318238258362,0.0,0.0,0.0
fast,11.472970000902812,4.087027072906494,16.638635635375977,0.018686503171920832,-0.025873571634292603,0.1375133544206619,0.025873571634292603,0.0,0.9921872615814208,0.0,0.0,0.2856990098953247,0.0,0.9328318238258362,0.0,0.0,0.0
fast,10.268341990663531,3.797183990478515,16.636672973632812,0.018686503171920832,-0.025873571634292603,-0.1264931112527847,0.025873571634292603,0.0,1.0,0.0,0.0,0.2876827120780945,0.0,0.9328318238258362,0.0,0.0,0.0
fast,9.45659583290418,3.797183990478515,16.536624908447266,0.018686503171920832,-0.025873571634292603,-0.1322427988052368,0.025873571634292603,0.0,1.0,0.0,0.0,0.3412579894065857,0.0,0.9328318238258362,0.0,0.0,0.0
fast,9.003853348493577,3.797183990478515,16.19463539123535,0.018686503171920832,-0.025873571634292603,-0.1322427988052368,0.025873571634292603,0.0,1.0,0.0,0.0,0.9921872615814208,0.0,0.9328318238258362,0.0,0.0,0.0
fast,8.96968673268954,3.797183990478515,15.805253028869627,0.015572071075439453,-0.025873571634292603,-0.0761833563446998,0.025873571634292603,0.0,1.0,0.0,0.0,1.0,0.0,0.9328318238258362,0.0,0.0,0.0
fast,9.450351372733092,3.797183990478515,17.78394317626953,0.015572071075439453,-0.025873571634292603,-0.0761833563446998,0.025873571634292603,0.0,1.0,0.0,0.9101535081863404,1.0,0.0,0.9328318238258362,0.0,0.0,0.0
fast,10.091105164289475,3.797183990478515,17.78394317626953,0.018446922302246094,-0.025873571634292603,-0.0761833563446998,0.025873571634292603,0.0,1.0,0.0,0.9121066927909852,1.0,0.0,0.9328318238258362,0.0,0.0,0.0
fast,10.958976703087489,3.797183990478515,17.78394317626953,0.018446922302246094,-0.025873571634292603,-0.0761833563446998,0.025873571634292603,0.0,1.0,0.0,0.9121066927909852,1.0,0.0,0.9328318238258362,0.0,0.0,0.0
fast,12.129336850245794,3.797183990478515,17.986845016479492,0.039049953222274725,-0.025873571634292603,0.3725318014621734,0.039049953222274725,0.0,1.0,0.0,0.9121066927909852,1.0,0.0,0.8625171780586243,0.0,0.0,0.0
fast,13.362001142899196,3.797183990478515,18.180946350097656,0.039049953222274725,-0.025873571634292603,0.4832133054733276,0.039049953222274725,0.0,1.0,0.0,0.535157322883606,1.0,0.0,0.8625171780586243,0.0,0.0,0.0
fast,14.525475039879481,3.797183990478515,18.180946350097656,0.0517471879720687,-0.0658818315714596,0.9685827493667604,0.0658818315714596,0.0,1.0,0.008926659822463951,0.535157322883606,1.0,0.0,0.0,0.008926659822463951,0.0,0.0
fast,15.814009456190213,6.366891860961914,18.180946350097656,0.0517471879720687,-0.0658818315714596,1.121188998222351,0.0658818315714596,0.0,1.0,0.0,0.535157322883606,1.0,0.0,0.0,0.0,0.0,0.0
fast,16.69060239950816,10.245963096618652,18.180946350097656,0.0517471879720687,-0.0658818315714596,1.121188998222351,0.0658818315714596,0.0,1.0,0.0,0.28371530771255493,1.0,0.0,0.0,0.0,0.0,0.0
fast,17.168093158404034,13.662327766418455,18.180946350097656,0.0517471879720687,-0.0704336762428284,1.121188998222351,0.0704336762428284,0.0,1.0,0.0,0.0,0.535157322883606,0.0,0.0,0.0,0.0,0.0
fast,17.17960782845815,11.527453422546388,18.180946350097656,0.0517471879720687,-0.0704336762428284,1.121188998222351,0.0704336762428284,0.0,1.0,0.0,0.0,0.5058595538139343,0.0,2.5566117763519287,0.0,0.0,0.0
fast,16.215669833758042,2.7913153171539307,18.180946350097656,0.0517471879720687,-0.0704336762428284,1.121188998222351,0.0704336762428284,0.0,0.535157322883606,0.0,0.0,0.13094729185104365,0.0,3.5,0.0,0.0,0.0
fast,14.577795674704102,0.0,18.180946350097656,0.07953733205795288,-0.0704336762428284,1.4127460718154907,0.07953733205795288,0.0,1.0,0.0,0.0,0.386898398399353,0.0,3.5,0.0,0.0,0.0
fast,13.342040655631571,0.0,18.180946350097656,0.07953733205795288,-0.0704336762428284,1.6630970239639282,0.07953733205795288,0.0,1.0,0.0,0.0,0.535157322883606,0.0,3.5,0.0,0.0,0.0
fast,12.514105171381185,0.0,18.180946350097656,0.07953733205795288,-0.1252952609211207,1.6630970239639282,0.1252952609211207,0.0,1.0,0.0,0.0,1.0,0.0,3.5,0.0,0.0,0.0
fast,11.97540695907548,0.0,18.113422393798828,0.07953733205795288,-0.1252952609211207,1.6630970239639282,0.1252952609211207,0.0,1.0,0.0,0.0,1.0,0.0,3.5,0.0,0.0,0.0
fast,11.675854573881438,0.0,17.75095558166504,0.07953733205795288,-0.1252952609211207,1.6630970239639282,0.1252952609211207,0.0,1.0,0.0,0.0,1.0,0.0,3.5,0.0,0.0,0.0
fast,11.507427138506124,0.0,17.37110710144043,0.07953733205795288,-0.1252952609211207,1.6630970239639282,0.1252952609211207,0.0,1.0,0.0,0.535157322883606,1.0,0.0,3.5,0.0,0.0,0.0
fast,11.34728070181484,0.0,16.91722297668457,0.07953733205795288,-0.1252952609211207,1.6630970239639282,0.1252952609211207,0.0,1.0,0.0,0.535157322883606,1.0,0.0,3.5,0.0,0.0,0.0
fast,10.907734351971497,0.0,16.42511558532715,0.07953733205795288,-0.1252952609211207,1.6630970239639282,0.1252952609211207,0.0,1.0,0.0,0.535157322883606,1.0,0.0,3.5,0.0,0.0,0.0
fast,10.06519814811026,0.0,16.07652473449707,0.1645847922191024,-0.1252952609211207,1.6630970239639282,0.1645847922191024,0.0,1.0,0.0,0.535157322883606,1.0,0.0,3.5,0.0,0.0,0.0
fast,10.079935950981747,0.0,16.07652473449707,0.1645847922191024,-0.1252952609211207,1.6630970239639282,0.1645847922191024,0.0,1.0,0.0,0.5507827997207642,1.0,0.0,2.5566117763519287,0.0,0.0,0.0
